symbol;type;ticket;open_price;close_price,lot;magic_number;swap;profit;stop_loss;take_profit,open_time, close_time
ADS;B;87454942;184.89;183.75;0.01;0;-0.13;-1.42;183.75;0.00;1517335172;1517500776
NKE;B;87506015;68.55;66.90;0.01;0;-0.02;-1.65;66.90;0.00;1517429710;1517502647
ADBE;B;87506064;200.35;193.37;0.01;0;-0.32;-6.98;193.89;0.00;1517429769;1517848204
TRV;B;87506085;149.98;146.22;0.01;0;-0.24;-3.76;147.25;0.00;1517429795;1517848205
RACE;B;87506106;119.76;124.61;0.01;0;-0.20;4.85;117.33;0.00;1517429822;1517864283
EBAY;B;87507229;41.00;43.45;0.01;0;-0.07;2.45;40.02;0.00;1517431213;1517864279
AXP;B;87507279;99.73;98.35;0.01;0;-0.03;-1.38;98.35;0.00;1517431284;1517502820
JPM;B;87507592;116.26;114.55;0.01;0;-0.07;-1.71;114.55;0.00;1517431651;1517608722
MSFT;B;87507753;94.50;91.96;0.01;0;-0.06;-2.54;91.96;0.00;1517431741;1517591140
WFC;B;87508079;65.95;65.00;0.01;0;-0.04;-0.95;65.00;0.00;1517432078;1517589611
BMW;B_S;87540954;93.31;93.11;0.01;0;0.00;0.00;0.00;0.00;1517492104;1517492113
BMW;B_S;87540958;93.31;91.63;0.01;0;0.00;0.00;0.00;0.00;1517492110;1517499089
;B_S;87544081;0.00;0.00;0.01;0;0.00;0.39;0.00;0.00;1517497202;1517497202
ADS;B;87545963;184.54;184.05;0.01;0;0.00;-0.61;184.05;0.00;1517499803;1517500219
NKE;B;87602542;67.63;66.60;0.01;0;-0.06;-1.03;66.60;0.00;1517594196;1517849164
